segment_id,material,risk_method,risk_score,risk_band
9542b214-6f0f-489f-b9d6-3e803e1670e9,CON,PCCP_RULE,3.0,High
ecfa1744-5a64-4fa3-ba87-7560a9de9209,CON,PCCP_RULE,3.0,High
25883e2b-de26-4d5c-b03b-46910921998c,CON,PCCP_RULE,1.0,Low
376b5c0c-0aba-4287-b709-7e2395ce182c,CON,PCCP_RULE,1.0,Low
cea62590-e28c-49c9-b550-17df9f98764b,CON,PCCP_RULE,2.0,Medium
aef433c7-c92d-453f-b4cc-c082260b0613,CON,PCCP_RULE,2.0,Medium
8dacdd76-9fde-4143-a7be-93b42b9164fb,CON,PCCP_RULE,2.0,Medium
12ea726d-7077-4b17-834a-7fbc3ee71eb5,CON,PCCP_RULE,1.0,Low
eeedc184-3063-4c9d-8f3e-b939f2e88cb1,CON,PCCP_RULE,1.0,Low
7d5fc3ed-eed5-40f2-bfaf-b8be04e596e4,CON,PCCP_RULE,1.0,Low
9337fdfb-978c-4d2a-b41f-0b64828ae3b8,CON,PCCP_RULE,2.0,Medium
1193dbf8-a266-4482-ad61-be2b5dae502f,CON,PCCP_RULE,3.0,High
0b779884-055a-4836-989f-57211b88a71d,CON,PCCP_RULE,3.0,High
79fdf75e-9f6a-4b25-a337-70b3e64aadc9,CON,PCCP_RULE,2.0,Medium
f1c65a0d-a76a-4431-8d1d-d2cf9a3437ed,CON,PCCP_RULE,2.0,Medium
3c9011d4-1478-47d8-a375-08539492813c,CON,PCCP_RULE,2.0,Medium
2b0f297c-6b15-43ec-b76b-418249307ecf,CON,PCCP_RULE,3.0,High
b67ac2a5-fb09-4eb5-928a-c0a497f50a6a,CON,PCCP_RULE,2.0,Medium
78c1a684-6bd9-44ff-8145-eacee1b17dbd,CON,PCCP_RULE,2.0,Medium
3aa709e0-407b-4491-9294-b17e6235f2e4,CON,PCCP_RULE,2.0,Medium
44ab64eb-78af-491e-97df-56a023ab9750,CON,PCCP_RULE,3.0,High
fdea90b7-90b7-424c-ad53-e70f07c8f55e,CON,PCCP_RULE,1.0,Low
efe7795d-42ac-4b21-ab71-b7f158bef11f,CON,PCCP_RULE,2.0,Medium
6a7340db-5a92-4fd5-83df-cdf9d97cc877,CON,PCCP_RULE,2.0,Medium
9d9e8d3f-05d2-4d76-bd51-73ff572d5c73,CON,PCCP_RULE,2.0,Medium
f5b5738b-32cc-4807-b179-e0ed72304c9f,CON,PCCP_RULE,2.0,Medium
d34b3660-2bfe-4b67-a780-38dc075186d4,CON,PCCP_RULE,2.0,Medium
0eccc947-64b4-4cef-83f9-b02a55667ecf,CON,PCCP_RULE,1.0,Low
95fb76be-6efe-45e6-9c6e-006f4a6fa6a6,CON,PCCP_RULE,2.0,Medium
cd7f7e23-51b9-4d6b-b2c6-04fd6ba01636,CON,PCCP_RULE,1.0,Low
5ac4944f-34ce-414b-91be-f33ac6d3fba6,CON,PCCP_RULE,1.0,Low
cf66a4f2-f6fc-470d-8d63-bca26af592bd,CON,PCCP_RULE,2.0,Medium
83cac490-cc5c-41c6-bc87-fd27c3d6d783,CON,PCCP_RULE,2.0,Medium
53b70b82-a5c2-4eac-b0b4-348827b75f38,CON,PCCP_RULE,1.0,Low
efba03de-88e9-4ecf-ba9f-b6a4a1fd832d,CON,PCCP_RULE,2.0,Medium
efa0742e-4eb7-470a-832c-c16efa4321ec,CON,PCCP_RULE,1.0,Low
3a09e663-465b-4462-b3e2-1f00bc88e12c,CON,PCCP_RULE,1.0,Low
