material,diam,year,count
CI,200,1962,78
PVC,150,2010,78
PVC,150,2014,78
YDI,400,1979,77
CI,300,1958,77
PVC,400,2007,77
PVCG,200,1994,76
CI,300,1959,76
PVC,400,1993,76
PVC,300,2022,76
PVC,200,1982,75
YUDI,150,1979,75
PVC,100,2003,74
PVC,100,2006,74
CI,250,1958,73
PVC,150,2016,73
CI,200,1958,71
CI,250,1962,71
CI,200,1954,71
YUDI,150,1978,70
PVC,100,2000,69
CI,150,1966,69
PVCG,150,2000,69
PVC,100,2005,69
PVC,150,2008,68
PDI,250,1969,67
CI,300,1951,67
PVC,200,1984,67
PVC,300,2009,67
DI,150,1969,66
PDI,300,1975,66
CON,900,1931,66
PVCG,150,1999,65
CI,300,1962,65
CI,200,1965,64
PVC,200,1983,64
PVC,100,2001,64
PVC,400,2017,64
PVC,400,1991,63
PVC,150,2009,63
TUDI,150,1976,62
CI,250,1954,62
PVC,100,2007,62
CI,150,1912,61
CI,250,1960,60
DI,200,1968,60
PVC,250,1985,60
PDI,150,1968,60
PVC,400,2005,60
PVC,400,1995,59
PVC,250,1982,59
PVC,150,2013,58
CI,250,1957,56
PVC,250,1986,55
PVC,100,1999,55
CI,200,1961,55
PCI,150,1967,53
CI,250,1956,52
PVC,400,2023,52
PDI,200,1969,51
PVCG,200,1995,51
PVC,100,2011,51
CI,300,1957,50
CI,200,1963,50
PVC,400,2006,50
PVC,100,2010,50
PCI,250,1967,49
PVC,400,2010,49
PVC,300,1986,48
CI,300,1956,48
AC,150,1974,48
CI,250,1953,48
YDI,400,1977,47
AC,400,1961,46
PDI,250,1968,46
PDI,300,1970,46
CI,250,1955,45
CI,250,1951,45
PVC,400,2021,45
YDI,150,1983,45
CI,200,1957,45
CI,250,1961,45
PVC,300,1983,44
CI,200,1964,44
PVC,400,2018,44
PVC,400,2020,44
PVCG,150,1991,43
AC,400,1958,43
PVCG,150,1990,43
CI,250,1964,42
PVC,250,1980,42
CI,300,1954,42
CI,200,1967,42
PVC,300,1982,41
PVC,250,1984,41
TUDI,150,1977,41
PVC,300,2020,41
DI,200,1970,40
PVC,150,1978,40
DI,200,1969,40
ST,250,2010,40
PVC,400,2008,39
DI,250,1968,39
CI,150,1947,39
YUDI,150,1980,38
CI,150,1967,38
CI,200,1956,38
PVC,300,1985,38
ECI,150,1964,38
DI,300,1968,37
AC,200,1974,37
YDI,300,1982,37
CU,40,1971,37
AC,150,1975,36
PVCG,200,1996,36
CI,300,1950,36
CI,250,1949,36
YDI,150,1984,36
DI,150,1971,36
DI,150,1970,36
CU,50,1971,36
YUDI,150,1981,35
PVCG,250,1997,35
DI,250,1969,35
CI,250,1967,35
CI,150,1911,35
CON,900,1977,35
ST,900,1954,35
PVCG,200,1993,35
ST,250,2015,35
PVCG,250,1995,34
CI,250,1952,34
PDI,200,1968,34
PVC,400,2012,34
YUDI,100,1978,33
CON,900,2001,33
PVCG,200,1992,33
TUDI,100,1977,33
ECI,150,1965,32
AC,400,1959,32
PVCG,250,1992,32
PVC,250,1983,32
YDI,400,1976,31
CI,400,1953,31
PVC,100,2008,31
CON,600,1973,30
AC,200,1975,30
YST,350,1976,30
PVC,100,2013,30
CI,300,2007,30
CI,250,1963,29
CON,400,1962,29
PCI,150,1966,29
PVCG,250,1990,29
CON,900,1982,29
CI,300,1952,29
PVC,400,2016,29
ECI,200,1965,28
PDI,400,1975,28
DI,150,1967,28
CI,200,1950,28
AC,150,1976,27
PVCG,250,1999,27
TWD,150,1975,27
ST,1350,1972,27
PDI,400,1973,27
CI,250,1930,27
CI,200,1966,27
PVC,300,1984,27
PVCG,250,1998,27
CI,500,1930,27
PVC,400,2019,27
PCI,250,1966,26
CI,150,1945,26
DI,200,1971,26
PVCG,250,1996,26
CI,150,1946,26
CI,300,1963,26
ST,500,1959,26
ST,200,2010,26
PVC,400,2022,26
PVCG,300,1994,25
CI,100,1956,25
PVC,400,1986,25
AC,150,1977,25
YDI,150,1982,25
PVC,400,1988,25
PVCG,250,1994,25
YDI,300,1984,25
CI,300,1953,25
AC,400,1962,25
CON,900,2000,25
AC,250,1974,24
YDI,250,2000,24
CI,200,1953,24
ECI,250,1964,24
CON,500,1960,24
YDI,250,1982,24
PVC,400,2009,24
PVC,100,2014,24
BDI,250,2016,24
CI,150,1930,23
PVC,400,1987,23
DI,300,1969,23
CON,900,1980,23
CI,150,1929,23
ST,200,2014,23
PVC,200,1979,22
ECI,150,1963,22
CI,150,1931,22
YDI,200,1982,22
PVCG,300,1996,22
ECI,200,1964,22
ST,900,2015,22
ST,900,2009,22
PVC,100,2012,22
ST,200,2009,22
ST,1050,2023,22
PDI,400,1972,21
AC,250,1956,21
PVCG,300,1995,21
AC,300,1976,21
DI,250,1967,21
DI,400,1970,21
CI,300,1966,21
YDI,300,1999,21
ST,250,2017,21
ST,200,2015,21
ST,300,2023,21
DI,250,1970,20
PVC,100,2018,20
PVC,250,1978,20
AC,300,1977,20
CON,900,1978,20
CI,300,1967,20
CI,300,1947,20
DI,250,1972,20
CI,100,1910,20
PDI,300,1968,20
ST,250,1982,20
CI,150,1941,19
DI,150,1972,19
CI,300,1948,19
CI,100,1954,19
DI,300,1971,19
PVCG,250,1991,19
PVCG,200,1998,19
PVC,150,1977,19
DI,300,1970,19
ST,300,2003,19
ST,300,1982,19
ST,200,2002,19
CON,750,2010,19
ST,900,2023,19
PDI,250,1976,18
ST,900,1966,18
DI,250,1964,18
CON,1050,1980,18
CON,1200,1982,18
CON,750,1980,18
PVCG,400,1996,18
CI,400,1955,18
CON,900,1975,18
PDI,100,1972,18
CI,400,1910,18
ST,250,2002,18
PVC,100,2017,18
ST,150,2015,18
PDI,250,1967,17
PVC,200,1977,17
PVC,300,1979,17
AC,400,1960,17
CI,250,1966,17
CON,600,1957,17
CI,300,1960,17
PVC,150,1979,17
CON,1200,1981,17
AC,400,1963,17
CON,750,1981,17
ST,1050,1976,17
PDI,250,1966,17
CI,400,1934,17
DI,250,1963,17
PE,50,2020,17
ST,1050,2017,17
ST,600,1964,17
ST,600,2012,17
YDI,150,2000,16
ST,1050,1972,16
CI,100,1955,16
CON,900,1974,16
CI,250,1950,16
ST,300,2017,16
CON,900,1962,16
PDI,400,1971,16
ST,300,1978,16
CON,750,1953,16
CON,1050,1976,16
PVCG,200,1990,16
CI,250,1965,16
PE,150,1999,16
ST,1050,2001,16
ECI,250,1965,16
ST,400,2017,16
PVC,400,2013,16
PE,300,2007,16
PVC,200,1978,15
PVC,100,2021,15
CON,900,1968,15
DI,300,1965,15
CON,750,2002,15
YUDI,100,1979,15
YDI,150,1986,15
CI,200,1948,15
PDI,100,1971,15
AC,300,1974,15
YDI,200,1984,15
CI,250,1948,15
CON,900,1976,15
PVC,600,2004,15
ST,900,2017,15
ST,900,1962,15
ST,100,2015,15
ST,250,2001,15
ST,200,2000,15
CI,200,1968,14
DI,250,1971,14
AC,250,1976,14
CON,900,1966,14
ST,900,2004,14
CI,300,1965,14
PE,150,1977,14
CON,900,1959,14
PVCG,250,1993,14
ST,600,1955,14
CI,200,1910,14
CON,1350,1985,14
YDI,400,1985,14
YDI,200,1983,14
ST,900,2014,14
CI,200,1955,14
PE,200,2001,14
CON,900,2003,14
PCI,200,1967,14
CON,500,1964,14
ECI,200,1962,14
CON,1050,1996,14
ST,300,2009,14
CON,1050,1986,13
CON,900,1981,13
PDI,300,1969,13
CI,300,1949,13
CI,200,1930,13
DI,250,1965,13
PVCG,250,2000,13
PDI,300,1976,13
ST,900,2012,13
ST,900,2003,13
DI,200,1966,13
CON,750,1979,13
ST,200,1996,13
PE,150,1997,13
CON,500,1970,13
PVC,400,2011,13
PVC,100,2016,13
ST,1350,2019,13
ST,150,2014,13
PE,50,2021,13
BDI,250,2019,13
PVC,600,2020,13
ST,400,2020,13
ST,600,1961,12
CON,750,1977,12
PVCG,400,1992,12
AC,300,1971,12
CON,750,1958,12
PVCG,200,1991,12
CI,200,1952,12
CON,1050,1988,12
PVCG,200,2002,12
AC,300,1975,12
CI,100,1950,12
CON,750,1970,12
DI,300,1966,12
DI,300,1964,12
DI,300,1963,12
PDI,200,1965,12
ST,750,1969,12
CI,100,1959,12
ST,600,1970,12
PE,125,1995,12
ST,300,1985,12
CON,900,1967,12
PVCG,200,1997,12
CON,750,1972,12
CON,600,1959,12
ST,200,2012,12
ST,1200,1982,12
PVC,100,2015,12
ST,300,2006,12
ST,250,1978,12
CON,1950,1975,12
CON,900,2009,12
ST,250,2023,12
BDI,300,2017,12
PCI,200,1966,11
CI,300,1930,11
AC,200,1976,11
ST,300,2019,11
DI,200,1965,11
CI,250,1946,11
PVCG,150,2003,11
ST,1500,1978,11
ST,900,1982,11
CON,1050,1981,11
CI,150,1926,11
CI,200,1949,11
PDI,300,1965,11
YDI,400,1983,11
PVCG,300,1992,11
CI,100,1952,11
CU,50,1962,11
CI,600,1951,11
YUDI,150,1977,11
DI,150,1966,11
CI,250,1912,11
CI,400,1957,11
ST,900,1963,11
ST,500,1963,11
ECI,150,1962,11
CON,1200,2011,11
TWD,100,1976,11
ST,250,2000,11
CON,500,1972,11
ST,400,1973,11
PE,50,2023,11
PDI,150,1967,10
AC,200,1977,10
CON,900,1973,10
PVC,300,1978,10
PCI,300,1967,10
PVCG,300,2001,10
CI,150,1928,10
CON,500,1980,10
PVCG,400,2000,10
AC,150,1955,10
CON,1050,1993,10
YUDI,200,1979,10
DI,150,1975,10
PVCG,200,1999,10
PDI,400,1974,10
YDI,150,1999,10
YDI,400,1984,10
ST,600,1963,10
ST,1200,2005,10
ST,600,1959,10
PVCG,200,1989,10
CON,500,1962,10
ST,1050,1971,10
YDI,400,1982,10
CON,1200,1991,10
PVC,100,2009,10
ST,500,1971,10
ST,250,2003,10
ST,300,2015,10
PE,50,2022,10
ST,500,1968,9
ST,1650,1978,9
PDI,100,1973,9
PE,125,1986,9
CI,150,1927,9
YDI,300,1983,9
YDI,200,1999,9
PE,125,1996,9
CI,200,1937,9
CI,150,1944,9
CI,250,1968,9
CI,600,1952,9
DI,300,1967,9
DI,300,1973,9
DI,200,1967,9
YUDI,200,1980,9
ST,500,1973,9
ST,150,1953,9
PDI,400,1970,9
PDI,250,1965,9
CU,40,1977,9
CI,300,1964,9
ST,250,2007,9
ST,500,2017,9
ST,1200,2010,9
ST,500,1982,9
CON,1050,1995,9
ST,150,2004,9
CON,900,1995,9
ST,900,1978,9
CON,1050,2003,9
ST,750,1978,9
ST,250,2014,9
ST,200,2001,9
ST,200,1995,9
ST,250,1992,9
ST,250,2013,9
ST,1066,2015,9
PVC,100,2023,9
BDI,150,2016,9
ST,250,2022,9
ECI,250,1963,8
AC,250,1975,8
PVCG,200,2001,8
CON,900,1998,8
PE,125,1989,8
PVCG,200,2000,8
ST,1950,1972,8
YDI,200,1985,8
YDI,150,1985,8
CI,200,1951,8
CU,40,2001,8
TUDI,100,1978,8
CI,300,1940,8
PVCG,150,2004,8
CON,1350,1994,8
PVCG,150,2002,8
CI,300,1961,8
AC,250,1977,8
ST,500,1956,8
PVCG,150,2001,8
CON,1050,2002,8
CON,750,1976,8
PE,125,1997,8
CI,500,1953,8
YDI,150,1995,8
CU,50,1977,8
CI,300,1931,8
CI,450,1910,8
PDI,250,1977,8
ST,750,1965,8
ST,300,1976,8
PVC,100,2019,8
YDI,400,1998,8
AC,400,1964,8
YDI,250,1983,8
ST,100,1962,8
YDI,250,1997,8
ST,100,1982,8
CON,900,1972,8
PVC,400,1985,8
ST,150,1931,8
ST,250,1981,8
ST,1200,1964,8
CU,40,1978,8
CON,750,2012,8
DI,400,1964,8
PVC,400,2014,8
CON,900,2010,8
CI,100,1958,8
ST,300,2021,8
BDI,150,2017,8
PVC,100,2022,8
DI,300,1972,7
CU,50,1973,7
CU,50,1972,7
CU,50,1958,7
CON,750,1965,7
PE,200,1977,7
PVC,400,2015,7
DI,400,1972,7
DI,200,1972,7
ST,900,1975,7
CU,40,2000,7
YDI,250,1999,7
CI,150,2003,7
CON,1200,2013,7
ST,300,1981,7
PVCG,150,1989,7
CI,200,1929,7
CI,400,1962,7
YST,300,1979,7
CI,100,1957,7
ST,600,1973,7
YST,150,1991,7
ST,500,1966,7
CI,150,1943,7
ST,250,1977,7
CU,50,1979,7
ST,600,1962,7
DI,250,1966,7
CI,250,1940,7
PDI,200,1976,7
PVCG,250,2002,7
CI,400,1956,7
CON,500,1966,7
CI,200,1941,7
PE,125,1990,7
ST,1500,1984,7
DI,400,1968,7
CON,400,1968,7
CI,300,1968,7
CI,100,1961,7
ST,900,2002,7
PVCG,300,1998,7
CON,1350,1982,7
ST,750,2009,7
CON,900,2015,7
CON,500,1982,7
ST,250,2004,7
PE,450,2001,7
ST,900,2007,7
ST,750,2007,7
YDI,250,1990,7
CI,450,1954,7
PVC,600,2006,7
YST,300,1978,7
CU,50,1910,7
ST,400,2023,7
ST,1050,2021,7
ST,600,2020,7
DI,250,2020,7
YDI,200,1989,6
PE,125,1993,6
CU,40,1987,6
PE,125,1983,6
CU,50,1978,6
CU,40,1974,6
CON,1200,1974,6
CU,50,1998,6
YDI,300,1988,6
CU,50,1991,6
CON,600,1994,6
ST,1200,1966,6
CON,1200,1990,6
DI,250,1975,6
PE,150,1989,6
CI,250,1914,6
DI,200,1963,6
YDI,200,1995,6
CU,25,1969,6
TUDI,150,1978,6
ST,200,1972,6
YDI,400,1986,6
CI,100,1946,6
CU,40,1988,6
CI,450,1912,6
CON,750,2004,6
CON,1200,1976,6
ST,500,1976,6
ST,750,1976,6
PVCG,400,1994,6
CON,600,1972,6
CI,150,1914,6
YDI,300,1992,6
YUDI,200,1978,6
CON,1200,1984,6
CON,1050,1989,6
ST,900,1970,6
PVCG,300,2000,6
AC,250,1961,6
CU,50,1999,6
YDI,150,2002,6
CI,400,1949,6
CON,900,1987,6
PE,125,1998,6
CI,150,1939,6
FPVC,300,1977,6
CON,750,1974,6
PE,125,1985,6
ST,150,1980,6
CU,40,1976,6
CI,250,1934,6
ST,600,1975,6
PE,50,2017,6
ST,100,2010,6
PVC,400,1900,6
ST,300,1955,6
ECI,250,1962,6
ECI,250,1966,6
CON,900,1970,6
CI,350,1952,6
PE,250,2014,6
ST,150,1978,6
ST,150,2001,6
ST,100,1966,6
ST,750,2006,6
PVC,150,1976,6
ST,250,2005,6
PVCG,250,2003,6
AC,400,1973,6
ST,750,1953,6
ST,100,1959,6
CON,450,1964,6
ST,250,2008,6
CON,600,2002,6
CON,1200,2010,6
ST,300,2014,6
PE,125,1988,6
DI,400,1966,6
ST,750,1971,6
PVC,100,2020,6
PE,150,2009,5
PVCG,400,1998,5
ST,300,1956,5
DI,200,1964,5
PE,125,1982,5
CI,100,1964,5
ST,100,1964,5
ST,150,2019,5
CU,50,2000,5
CI,150,2008,5
ST,1050,1984,5
CON,900,1996,5
ECI,200,1961,5
PCI,150,1965,5
CON,750,1969,5
PVCG,400,1993,5
PDI,100,1975,5
YUDI,250,1978,5
PE,50,2000,5
PVCG,400,1997,5
CON,750,2007,5
CON,750,1960,5
CI,150,1932,5
CON,1350,1974,5
ST,200,1994,5
YDI,400,1994,5
ST,600,1978,5
CON,900,1999,5
ECI,200,1963,5
CU,40,1980,5
PE,150,1994,5
YDI,250,2002,5
CI,100,1960,5
PVCG,250,2001,5
DI,400,1965,5
ST,600,2015,5
CON,600,1955,5
DI,150,1974,5
PDI,150,1966,5
CU,50,1967,5
ST,100,1980,5
YUDI,300,1980,5
CU,40,1962,5
CIPP,200,2020,5
PE,200,2011,5
CON,1200,2009,5
ST,900,2013,5
ST,500,1975,5
PE,50,2019,5
CU,40,1982,5
PE,250,2002,5
ST,250,2019,5
ST,750,1981,5
AC,200,1960,5
YDI,250,1992,5
CI,200,1947,5
ST,100,1960,5
PE,200,2012,5
CON,1500,1974,5
ST,200,1991,5
CON,1200,2005,5
ST,1200,2002,5
CON,750,2003,5
CU,50,1966,5
CON,750,1967,5
CON,1350,1978,5
ST,150,1976,5
ST,300,1973,5
ST,500,1981,5
ST,200,2007,5
ST,200,2004,5
CU,50,1995,5
CON,600,1999,5
ST,150,2012,5
CON,1050,1994,5
PVCG,300,1990,5
ST,100,2014,5
PDI,100,1974,5
CON,750,2001,5
CI,100,1953,5
PDI,150,1978,5
ST,300,1960,5
PCI,250,1964,5
ST,150,2021,5
BDI,250,2018,5
BDI,250,2017,5
ST,900,2022,5
ST,1200,2022,5
DI,400,1975,5
PE,150,2022,5
CU,40,1990,4
UNK,150,2003,4
CU,50,1997,4
CI,300,1911,4
CON,750,1973,4
YST,300,1977,4
ST,100,1981,4
DI,150,1976,4
ST,900,1968,4
PE,125,1987,4
YST,300,1984,4
TWD,150,1976,4
YUDI,250,1980,4
ST,300,1972,4
CON,500,1981,4
CI,100,1930,4
PDI,150,1976,4
ST,250,1986,4
YST,250,1985,4
PVCG,400,1995,4
CON,400,1972,4
YDI,250,1988,4
ST,150,1995,4
PRIM,300,2021,4
DI,400,1969,4
PVC,250,1977,4
PE,150,1991,4
ST,300,1965,4
CON,900,1994,4
PE,200,1996,4
CI,200,1946,4
YDI,250,2001,4
CON,900,1984,4
PE,125,1981,4
PVCG,400,1999,4
YDI,150,2001,4
TUDI,100,1976,4
YST,300,1972,4
PE,150,1986,4
CI,150,1968,4
PE,125,2002,4
YDI,300,1996,4
CON,900,1988,4
PE,50,2002,4
YDI,150,1989,4
CI,250,1931,4
ST,300,1988,4
CON,600,1997,4
ST,600,1977,4
ST,750,1967,4
PDI,400,1969,4
CU,25,1959,4
PVCG,250,1989,4
CU,25,1949,4
YUDI,250,1979,4
CI,150,1940,4
CU,50,1956,4
YDI,250,1998,4
YDI,250,1984,4
DI,100,1976,4
PVCG,300,1991,4
YDI,400,1987,4
ST,150,2007,4
PE,50,2018,4
ST,150,2018,4
PDI,300,1982,4
CU,40,1981,4
ST,1500,2017,4
ST,1650,2017,4
ST,100,1972,4
ST,200,2017,4
ST,400,2019,4
CON,1050,1982,4
PDI,300,1977,4
CU,25,1961,4
CI,150,1942,4
ST,100,1977,4
ST,100,1979,4
CU,25,1974,4
ST,600,2007,4
CON,600,1971,4
ST,300,2000,4
ST,75,1972,4
YST,300,1981,4
YDI,400,1975,4
ST,250,1987,4
CU,25,1953,4
CI,100,1963,4
CI,150,1938,4
PVC,350,2003,4
ST,450,1952,4
ST,100,1954,4
ST,100,1967,4
CON,900,1963,4
CON,750,1994,4
PE,125,2000,4
CON,1350,1993,4
PVCG,200,2003,4
ST,100,1965,4
ST,100,1963,4
ST,600,2014,4
ST,150,1959,4
PVC,750,2006,4
CON,1200,2007,4
ST,100,1992,4
ST,1050,2002,4
ST,600,1971,4
ST,900,1972,4
ST,300,2011,4
ST,300,2004,4
CU,50,1987,4
PVC,600,2012,4
ST,300,2007,4
ST,750,2013,4
CON,750,1975,4
CI,150,2006,4
ST,250,2011,4
CON,500,1969,4
DI,400,1971,4
ST,600,2006,4
ST,250,1959,4
DI,200,1974,4
PVC,900,2012,4
DI,100,1971,4
PE,150,1990,4
DI,400,1967,4
CI,600,1954,4
AC,350,1960,4
CI,100,1944,4
PE,300,2002,4
ST,1200,1975,4
CON,750,1966,4
CU,50,2021,4
UNK,150,1982,4
BDI,300,2018,4
BDI,150,2018,4
ST,1500,2022,4
ST,900,2011,4
ST,150,2023,4
PVC,200,2024,4
DI,400,2020,4
CU,50,1959,3
ST,900,1930,3
ST,1200,1965,3
PVC,750,2008,3
YDI,150,1997,3
UNK,150,2002,3
CU,50,1988,3
ST,1050,1980,3
ST,300,2002,3
YDI,200,2001,3
CON,900,1990,3
ST,1200,1976,3
CI,50,1910,3
PE,125,1992,3
YDI,200,1994,3
PDI,150,1977,3
CU,40,1972,3
ST,150,1930,3
ST,250,1999,3
PVCG,400,2002,3
PVCG,300,1997,3
CI,300,1943,3
TUDI,200,1976,3
CU,50,1992,3
YDI,300,1985,3
CU,25,1910,3
PVC,300,1976,3
PE,125,2003,3
PVCG,100,2000,3
PE,150,1998,3
YDI,300,1975,3
PVC,250,1979,3
ST,300,1966,3
CI,100,1966,3
YST,250,1982,3
PDI,300,1964,3
CU,40,1992,3
CON,750,1991,3
CU,40,1961,3
CI,400,1958,3
CON,900,1983,3
CI,150,1919,3
YDI,200,2000,3
CON,600,1977,3
YDI,100,1980,3
PE,300,1999,3
ST,1050,1973,3
CU,25,1964,3
CON,1050,1978,3
CON,1200,1994,3
CU,40,1973,3
CU,25,1954,3
CU,25,1942,3
ECI,300,1963,3
CU,40,1963,3
CI,350,1951,3
CI,100,1912,3
DI,250,1976,3
PDI,200,1977,3
CI,400,1950,3
CON,500,1973,3
CU,25,1987,3
CU,50,1974,3
DI,500,1968,3
ST,1050,1974,3
PE,125,1994,3
ST,200,1989,3
YST,250,1978,3
CI,100,1947,3
PE,125,2006,3
ST,400,1959,3
PE,450,2011,3
ST,200,2013,3
CI,150,2004,3
AC,400,1955,3
ST,150,2005,3
PVC,200,1961,3
PVC,250,1961,3
ST,100,2018,3
ST,250,2018,3
ST,1200,2017,3
ST,100,1900,3
ST,150,2011,3
CI,150,2012,3
PVC,500,2016,3
PE,0,2012,3
CI,400,1951,3
CON,1200,1995,3
CI,500,1950,3
ST,750,1980,3
YDI,150,1996,3
YUDI,300,1981,3
CON,1050,1977,3
PVCG,300,1993,3
DI,500,2002,3
ST,250,1974,3
YDI,300,1995,3
ECI,250,1967,3
ST,150,1996,3
CI,100,1965,3
CI,450,1948,3
ST,0,1964,3
ST,750,2002,3
ST,900,2001,3
ST,150,1990,3
YST,400,1979,3
YDI,300,1994,3
DI,150,1979,3
CU,40,1958,3
CON,900,2006,3
ST,250,1994,3
PE,250,2005,3
PE,350,2005,3
ST,150,1981,3
ST,150,1973,3
CON,400,1978,3
PE,450,2002,3
ST,400,1975,3
ST,200,2008,3
ST,250,2012,3
PVCG,250,2006,3
ST,150,2002,3
ST,750,1964,3
ST,400,1976,3
DI,100,1968,3
CU,25,1956,3
CON,750,2009,3
PE,400,2012,3
CU,40,1979,3
CU,40,2003,3
CU,40,2004,3
CU,20,1972,3
YST,750,1985,3
ST,150,2010,3
CON,150,2010,3
CON,600,1980,3
ST,150,2006,3
CON,1350,2007,3
ST,250,2006,3
ST,750,1982,3
DI,100,1969,3
PDI,400,1977,3
ST,250,1971,3
ST,400,1983,3
PE,125,1999,3
DI,150,1973,3
