globalid,functional_class,uplift_lof,min_dist_m,buffer_m,source_ctp_class
969feef6-3767-4cfc-a63f-8b206901f1ec,major_arterial,1.5,1.234,2.0,Arterial Street
5bf7a116-b28b-4e27-a4af-302054a60a1b,major_arterial,1.5,0.000,2.0,Arterial Street
cf6efa58-3184-4818-bd26-94d0bd514cdd,major_arterial,1.5,0.000,2.0,Arterial Street
c71a3817-5d62-48db-b835-a6747fd4ff34,major_arterial,1.5,0.000,2.0,Arterial Street
4699a3d9-3b19-4725-b880-08293c196432,major_arterial,1.5,0.000,2.0,Arterial Street
e856eb51-5974-4b20-b3cb-dd22b75661db,expressway_freeway,2.0,1.936,2.0,Skeletal Road
5aebca4c-5774-492b-9144-487d2ac38b7b,expressway_freeway,2.0,1.763,2.0,Skeletal Road
4033fe9f-f026-42c9-8011-f97e52082126,major_arterial,1.5,0.000,2.0,Arterial Street
fdb7dbfc-bd27-4a94-8918-62e4a2741239,major_arterial,1.5,0.854,2.0,Arterial Street
ad124111-a02d-4a25-9c17-177e4d806d60,major_arterial,1.5,0.327,2.0,Arterial Street
9d56deb7-b289-4d2b-94b6-c940eeb0e319,major_arterial,1.5,0.000,2.0,Arterial Street
0c902a38-c314-446b-a66c-2538cbd4bb59,major_arterial,1.5,0.000,2.0,Arterial Street
76a57fe5-48d2-4bc2-b617-c4ea03d89737,major_arterial,1.5,0.000,2.0,Arterial Street
3ea35cc0-3ddd-48ff-9933-819469c2682a,major_arterial,1.5,0.000,2.0,Arterial Street
6a306660-afa4-4109-8325-816f49b76d4b,major_arterial,1.5,0.000,2.0,Arterial Street
ba9d81cf-39cb-4987-b464-1e1b920db5b1,major_arterial,1.5,0.000,2.0,Arterial Street
d4cc526f-d4d5-4e79-ad72-5da97a222fcb,major_arterial,1.5,0.977,2.0,Arterial Street
8a0e793e-d18d-459a-81aa-f39dca09a8e0,major_arterial,1.5,0.000,2.0,Arterial Street
09d87a5b-55a1-4040-a113-54054bcdaa28,major_arterial,1.5,1.006,2.0,Arterial Street
e6796469-834c-4858-9e74-e870842d3ca4,major_arterial,1.5,0.000,2.0,Arterial Street
f0e5c0fa-48eb-49e6-ac60-cfcc7541a6eb,major_arterial,1.5,0.820,2.0,Arterial Street
9357bb49-8a7c-4373-a903-b96b93704b71,minor_arterial,1.0,0.840,2.0,Urban Boulevard
2b69df97-da17-476f-b021-5fb2521b062c,minor_arterial,1.0,1.655,2.0,Urban Boulevard
95a76862-f1c4-4879-9338-369622596faa,minor_arterial,1.0,1.665,2.0,Urban Boulevard
c279a890-538a-4624-8849-2d5403172945,major_arterial,1.5,0.000,2.0,Arterial Street
8d6107fd-e0ee-4630-a1fc-7d574c51fc71,major_arterial,1.5,1.017,2.0,Arterial Street
178d0016-860a-407d-a124-079473e55098,major_arterial,1.5,0.000,2.0,Arterial Street
9626002f-918a-4755-a2fa-965208f5953f,major_arterial,1.5,0.000,2.0,Arterial Street
e3e14ae8-3fc3-4df5-a970-a9c12bde6997,major_arterial,1.5,0.083,2.0,Arterial Street
c038a6ef-8f4f-4671-a00e-036f5f5432d6,expressway_freeway,2.0,1.517,2.0,Skeletal Road
088d3de3-2d25-4a5f-a92a-2def7f013484,expressway_freeway,2.0,0.539,2.0,Skeletal Road
7f0863b4-81bc-405a-9aa0-3f15eb70f6bc,major_arterial,1.5,1.396,2.0,Arterial Street
d668581e-42dc-4934-90e4-b9ec9b13d273,minor_arterial,1.0,0.000,2.0,Industrial Arterial
6298204d-b1f2-4f42-9709-744885151ad9,major_arterial,1.5,0.000,2.0,Arterial Street
60eab6ac-15f2-4d41-9568-8e2376579bda,expressway_freeway,2.0,0.000,2.0,Skeletal Road
ee1bb02b-e313-43c2-9b6e-ad2bf01aa5df,expressway_freeway,2.0,0.000,2.0,Skeletal Road
5dc30471-2e3c-49e7-b60f-f721f7a3cc03,major_arterial,1.5,0.897,2.0,Arterial Street
